Machine,WorkflowNum,Workflow,Task,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
n2,EAGER-0,eager,bcftools_stats,Perfect,Realtime,14754556884,11077,11077,0,678428015,14754556884,938498266,26066,10485760,2,91.7
n2,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19132169434,9940,9940,0,678428015,19132169434,993282379,28576,10625024,2,101
n2,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,8330435694,0,2586578,1,796099016,8330435694,2263101847,766451619,5446979584,8,114.7
n2,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,25705994498,0,4848044,1,983514845,25705994498,3634506644,2066644469,5452623872,8,133.2
n2,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19100037384,0,3203084,1,885820715,19100037384,2804815311,1262782349,5425025024,8,130.1
n2,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19075314980,0,3138085,1,885824354,19075314980,2803983705,1262159109,5441540096,8,131.1
n2,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,14754556884,0,3657452,1,868560627,14754556884,2791086117,1265613452,5376614400,8,122
n2,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19132169434,0,3151150,1,886147299,19132169434,2807332615,1265210136,5449142272,8,130.8
n2,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,8330435694,1973261.21551538,2586578,0.237115132226679,796099016,8330435694,2263101847,766451619,5446979584,8,114.7
n2,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,25705994498,2437801.90594046,4848044,0.49715763595783,983514845,25705994498,3634506644,2066644469,5452623872,8,133.2
n2,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19100037384,2195651.07565666,3203084,0.314519670524827,885820715,19100037384,2804815311,1262782349,5425025024,8,130.1
n2,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19075314980,2195660.0955115,3138085,0.300318475913974,885824354,19075314980,2803983705,1262159109,5441540096,8,131.1
n2,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,14754556884,2152869.13328231,3657452,0.411374603608656,868560627,14754556884,2791086117,1265613452,5376614400,8,122
n2,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19132169434,2196460.56735035,3151150,0.302965403947655,886147299,19132169434,2807332615,1265210136,5449142272,8,130.8
n2,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,8330435694,1973261.21551538,2586578,0.237115132226679,796099016,8330435694,2263101847,766451619,5446979584,8,114.7
n2,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,25705994498,2437801.90594046,4848044,0.49715763595783,983514845,25705994498,3634506644,2066644469,5452623872,8,133.2
n2,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19100037384,2195651.07565666,3203084,0.314519670524827,885820715,19100037384,2804815311,1262782349,5425025024,8,130.1
n2,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19075314980,2195660.0955115,3138085,0.300318475913974,885824354,19075314980,2803983705,1262159109,5441540096,8,131.1
n2,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,14754556884,2152869.13328231,3657452,0.411374603608656,868560627,14754556884,2791086117,1265613452,5376614400,8,122
