Machine,Amount,CPU,Memory,Storage,CPU_events,LINPACK,RAM_score,read_IOPS,write_IOPS
local,6,4,16,HDD,458,3959800,18700,414,415
A1,6,32,32,HDD,223,,11000,306,301
A2,6,6,64,HDD,223,,11000,341,336
N1,6,12,16,HDD,369,3620426,13400,481,483
N2,6,8,8,HDD,468,4045289,17000,481,483
C2,6,32,192,HDD,523,4602096,18900,481,483
