Machine,WorkflowNum,Workflow,TaskName,Estimator,Feature,SizeInput,Predicted,Real,Deviation,TaskInputSize,WorkflowInputSize,rchar,wchar,PeakRSS,CPUAssigned,CPUUsed
asok01,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19100037384,18547,18547,0,678428015,19100037384,990287466,28351,10485760,2,100.4
asok01,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19132169434,18374,18374,0,678428015,19132169434,993079364,28623,10211328,2,101.1
asok01,EAGER-0,eager,bcftools_stats,Perfect,Realtime,19075314980,20088,20088,0,678428015,19075314980,997342484,28341,10436608,2,98.8
asok01,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,8330435694,0,5552707,1,796100263,8330435694,2262147778,764321874,5588656128,8,102.7
asok01,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,25705994498,0,10657795,1,983557384,25705994498,3633729059,2064700456,5578244096,8,101.8
asok01,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,14754556884,0,7770035,1,868576360,14754556884,2790153896,1263488486,5566287872,8,102.2
asok01,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19100037384,0,6603045,1,885827565,19100037384,2804104895,1260781649,5574238208,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19132169434,0,6500992,1,886161574,19132169434,2806532461,1263220404,5581651968,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Lotaru-G,Realtime,19075314980,0,6643508,1,885857637,19075314980,2803219458,1260192345,5571870720,8,102.4
asok01,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,8330435694,1973264.30640821,5552707,0.644630212541702,796100263,8330435694,2262147778,764321874,5588656128,8,102.7
asok01,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,25705994498,2437907.34578796,10657795,0.77125593560507,983557384,25705994498,3633729059,2064700456,5578244096,8,101.8
asok01,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,14754556884,2152908.13008809,7770035,0.722921694678584,868576360,14754556884,2790153896,1263488486,5566287872,8,102.2
asok01,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19100037384,2195668.05449855,6603045,0.667476436326187,885827565,19100037384,2804104895,1260781649,5574238208,8,102.4
asok01,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19132169434,2196495.95026539,6500992,0.662129110408782,886161574,19132169434,2806532461,1263220404,5581651968,8,102.4
asok01,EAGER-0,eager,genotyping_hc,OnlineP,Realtime,19075314980,2195742.59285381,6643508,0.669490487126108,885857637,19075314980,2803219458,1260192345,5571870720,8,102.4
asok01,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,8330435694,1973264.30640821,5552707,0.644630212541702,796100263,8330435694,2262147778,764321874,5588656128,8,102.7
asok01,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,25705994498,2437907.34578796,10657795,0.77125593560507,983557384,25705994498,3633729059,2064700456,5578244096,8,101.8
asok01,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,14754556884,2152908.13008809,7770035,0.722921694678584,868576360,14754556884,2790153896,1263488486,5566287872,8,102.2
asok01,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19100037384,2195668.05449855,6603045,0.667476436326187,885827565,19100037384,2804104895,1260781649,5574238208,8,102.4
asok01,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19132169434,2196495.95026539,6500992,0.662129110408782,886161574,19132169434,2806532461,1263220404,5581651968,8,102.4
asok01,EAGER-0,eager,genotyping_hc,OnlineM,Realtime,19075314980,2195742.59285381,6643508,0.669490487126108,885857637,19075314980,2803219458,1260192345,5571870720,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Naive,Realtime,8330435694,847253.354023631,5552707,0.847416160437849,796100263,8330435694,2262147778,764321874,5588656128,8,102.7
asok01,EAGER-0,eager,genotyping_hc,Naive,Realtime,25705994498,1046755.45430477,10657795,0.901784988892659,983557384,25705994498,3633729059,2064700456,5578244096,8,101.8
asok01,EAGER-0,eager,genotyping_hc,Naive,Realtime,14754556884,924386.372468309,7770035,0.881031890787067,868576360,14754556884,2790153896,1263488486,5566287872,8,102.2
asok01,EAGER-0,eager,genotyping_hc,Naive,Realtime,19100037384,942746.046464798,6603045,0.857225560863995,885827565,19100037384,2804104895,1260781649,5574238208,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Naive,Realtime,19132169434,943101.517074062,6500992,0.854929598886745,886161574,19132169434,2806532461,1263220404,5581651968,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Naive,Realtime,19075314980,942778.050728641,6643508,0.858090326567133,885857637,19075314980,2803219458,1260192345,5571870720,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,8330435694,0,5552707,1,796100263,8330435694,2262147778,764321874,5588656128,8,102.7
asok01,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,25705994498,0,10657795,1,983557384,25705994498,3633729059,2064700456,5578244096,8,101.8
asok01,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,14754556884,0,7770035,1,868576360,14754556884,2790153896,1263488486,5566287872,8,102.2
asok01,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,19100037384,0,6603045,1,885827565,19100037384,2804104895,1260781649,5574238208,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,19132169434,0,6500992,1,886161574,19132169434,2806532461,1263220404,5581651968,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Lotaru-A,Realtime,19075314980,0,6643508,1,885857637,19075314980,2803219458,1260192345,5571870720,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Perfect,Realtime,8330435694,5552707,5552707,0,796100263,8330435694,2262147778,764321874,5588656128,8,102.7
asok01,EAGER-0,eager,genotyping_hc,Perfect,Realtime,25705994498,10657795,10657795,0,983557384,25705994498,3633729059,2064700456,5578244096,8,101.8
asok01,EAGER-0,eager,genotyping_hc,Perfect,Realtime,14754556884,7770035,7770035,0,868576360,14754556884,2790153896,1263488486,5566287872,8,102.2
asok01,EAGER-0,eager,genotyping_hc,Perfect,Realtime,19100037384,6603045,6603045,0,885827565,19100037384,2804104895,1260781649,5574238208,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Perfect,Realtime,19132169434,6500992,6500992,0,886161574,19132169434,2806532461,1263220404,5581651968,8,102.4
asok01,EAGER-0,eager,genotyping_hc,Perfect,Realtime,19075314980,6643508,6643508,0,885857637,19075314980,2803219458,1260192345,5571870720,8,102.4
asok01,EAGER-0,eager,qualimap,Lotaru-G,Realtime,8330435694,0,54600,1,796054587,8330435694,152425503,858067,1315364864,2,187.4
asok01,EAGER-0,eager,qualimap,Lotaru-G,Realtime,25705994498,0,83645,1,983511708,25705994498,340006082,859724,1597399040,2,191.5
asok01,EAGER-0,eager,qualimap,Lotaru-G,Realtime,19075314980,0,77284,1,885808783,19075314980,242316407,900420,1598365696,2,175.2
asok01,EAGER-0,eager,qualimap,Lotaru-G,Realtime,19132169434,0,76643,1,886112720,19132169434,242620937,921044,1580318720,2,175
asok01,EAGER-0,eager,qualimap,Lotaru-G,Realtime,19100037384,0,68699,1,885778711,19100037384,242291614,897191,1592172544,2,185.9
asok01,EAGER-0,eager,qualimap,Lotaru-G,Realtime,14754556884,0,63305,1,868527506,14754556884,225020521,870831,1596760064,2,187.9
asok01,EAGER-0,eager,qualimap,OnlineP,Realtime,8330435694,21259.3879939042,54600,0.610633919525564,796054587,8330435694,152425503,858067,1315364864,2,187.4
asok01,EAGER-0,eager,qualimap,OnlineP,Realtime,25705994498,26265.6070806856,83645,0.685987123191038,983511708,25705994498,340006082,859724,1597399040,2,191.5
asok01,EAGER-0,eager,qualimap,OnlineP,Realtime,19075314980,23656.3583876505,77284,0.69390354552494,885808783,19075314980,242316407,900420,1598365696,2,175.2
asok01,EAGER-0,eager,qualimap,OnlineP,Realtime,19132169434,23664.4753116834,76643,0.691237617112021,886112720,19132169434,242620937,921044,1580318720,2,175
asok01,EAGER-0,eager,qualimap,OnlineP,Realtime,19100037384,23655.5552865489,68699,0.655663760949229,885778711,19100037384,242291614,897191,1592172544,2,185.9
asok01,EAGER-0,eager,qualimap,OnlineP,Realtime,14754556884,23194.8455984866,63305,0.633601680775822,868527506,14754556884,225020521,870831,1596760064,2,187.9
asok01,EAGER-0,eager,qualimap,OnlineM,Realtime,8330435694,21259.3879939042,54600,0.610633919525564,796054587,8330435694,152425503,858067,1315364864,2,187.4
asok01,EAGER-0,eager,qualimap,OnlineM,Realtime,25705994498,26265.6070806856,83645,0.685987123191038,983511708,25705994498,340006082,859724,1597399040,2,191.5
asok01,EAGER-0,eager,qualimap,OnlineM,Realtime,19075314980,23656.3583876505,77284,0.69390354552494,885808783,19075314980,242316407,900420,1598365696,2,175.2
asok01,EAGER-0,eager,qualimap,OnlineM,Realtime,19132169434,23664.4753116834,76643,0.691237617112021,886112720,19132169434,242620937,921044,1580318720,2,175
asok01,EAGER-0,eager,qualimap,OnlineM,Realtime,19100037384,23655.5552865489,68699,0.655663760949229,885778711,19100037384,242291614,897191,1592172544,2,185.9
asok01,EAGER-0,eager,qualimap,OnlineM,Realtime,14754556884,23194.8455984866,63305,0.633601680775822,868527506,14754556884,225020521,870831,1596760064,2,187.9
asok01,EAGER-0,eager,qualimap,Naive,Realtime,8330435694,14644.7231358239,54600,0.731781627549012,796054587,8330435694,152425503,858067,1315364864,2,187.4
asok01,EAGER-0,eager,qualimap,Naive,Realtime,25705994498,18093.3027705816,83645,0.783689368514775,983511708,25705994498,340006082,859724,1597399040,2,191.5
asok01,EAGER-0,eager,qualimap,Naive,Realtime,19075314980,16295.8980328269,77284,0.789142668174177,885808783,19075314980,242316407,900420,1598365696,2,175.2
asok01,EAGER-0,eager,qualimap,Naive,Realtime,19132169434,16301.4894499086,76643,0.787306219094912,886112720,19132169434,242620937,921044,1580318720,2,175
asok01,EAGER-0,eager,qualimap,Naive,Realtime,19100037384,16295.3448093152,68699,0.762800844127059,885778711,19100037384,242291614,897191,1592172544,2,185.9
asok01,EAGER-0,eager,qualimap,Naive,Realtime,14754556884,15977.980742692,63305,0.747603179169228,868527506,14754556884,225020521,870831,1596760064,2,187.9
asok01,EAGER-0,eager,qualimap,Lotaru-A,Realtime,8330435694,0,54600,1,796054587,8330435694,152425503,858067,1315364864,2,187.4
asok01,EAGER-0,eager,qualimap,Lotaru-A,Realtime,25705994498,0,83645,1,983511708,25705994498,340006082,859724,1597399040,2,191.5
asok01,EAGER-0,eager,qualimap,Lotaru-A,Realtime,19075314980,0,77284,1,885808783,19075314980,242316407,900420,1598365696,2,175.2
asok01,EAGER-0,eager,qualimap,Lotaru-A,Realtime,19132169434,0,76643,1,886112720,19132169434,242620937,921044,1580318720,2,175
asok01,EAGER-0,eager,qualimap,Lotaru-A,Realtime,19100037384,0,68699,1,885778711,19100037384,242291614,897191,1592172544,2,185.9
asok01,EAGER-0,eager,qualimap,Lotaru-A,Realtime,14754556884,0,63305,1,868527506,14754556884,225020521,870831,1596760064,2,187.9
asok01,EAGER-0,eager,qualimap,Perfect,Realtime,8330435694,54600,54600,0,796054587,8330435694,152425503,858067,1315364864,2,187.4
asok01,EAGER-0,eager,qualimap,Perfect,Realtime,25705994498,83645,83645,0,983511708,25705994498,340006082,859724,1597399040,2,191.5
asok01,EAGER-0,eager,qualimap,Perfect,Realtime,19075314980,77284,77284,0,885808783,19075314980,242316407,900420,1598365696,2,175.2
asok01,EAGER-0,eager,qualimap,Perfect,Realtime,19132169434,76643,76643,0,886112720,19132169434,242620937,921044,1580318720,2,175
asok01,EAGER-0,eager,qualimap,Perfect,Realtime,19100037384,68699,68699,0,885778711,19100037384,242291614,897191,1592172544,2,185.9
asok01,EAGER-0,eager,qualimap,Perfect,Realtime,14754556884,63305,63305,0,868527506,14754556884,225020521,870831,1596760064,2,187.9
asok01,EAGER-0,eager,adapter_removal,Lotaru-G,Realtime,8330435694,0,804250,1,8330435839,8330435694,4402137051,3300334467,194977792,8,159.4
asok01,EAGER-0,eager,adapter_removal,Lotaru-G,Realtime,25705994498,0,2437908,1,25705994643,25705994498,13120220351,10005512963,197251072,8,158.5
asok01,EAGER-0,eager,adapter_removal,Lotaru-G,Realtime,14754556884,0,1407518,1,14754557029,14754556884,7482997864,5707204271,196780032,8,158.5
asok01,EAGER-0,eager,adapter_removal,Lotaru-G,Realtime,19132169434,0,1509824,1,19132169579,19132169434,8649142276,6388203165,191586304,8,168.8
asok01,EAGER-0,eager,adapter_removal,Lotaru-G,Realtime,19100037384,0,1500139,1,19100037529,19100037384,8624120012,6379729786,195448832,8,168.9
asok01,EAGER-0,eager,adapter_removal,Lotaru-G,Realtime,19075314980,0,1487290,1,19075315125,19075314980,8663248897,6376818263,196902912,8,169.7
asok01,EAGER-0,eager,adapter_removal,OnlineP,Realtime,8330435694,442240.376430994,804250,0.450120762908307,8330435839,8330435694,4402137051,3300334467,194977792,8,159.4
